epoch,loss,psnr,ssim,nrmse
1,0.012459161926606862,32.71417294989841,0.9332477099459096,0.11489984232060353
2,0.011595921462465977,33.38039572374287,0.9420333664739168,0.10655836665582129
3,0.010945016270953005,34.00826063677257,0.9466617875619486,0.09930328615867169
4,0.010881931664711186,34.036976068113105,0.9477581495481414,0.0991358814505471
5,0.010529253086685364,34.370262428200604,0.9503015050813219,0.09556112136441483
6,0.010354276860518189,34.5142678576244,0.95154621542039,0.09379116695743939
7,0.010278407689826241,34.57555960605194,0.9526860655774431,0.0931026777874848
8,0.010232216638416565,34.62211769965852,0.9527344137268987,0.0927059910814162
9,0.010038812008911166,34.81240507603811,0.953942274927657,0.09070034437439864
10,0.009968303394471778,34.874747536329615,0.9549029820042073,0.09012186124507306
11,0.009704244213885275,35.118764961979046,0.9569139242611115,0.0876051899277246
12,0.00970085864517324,35.14831339910507,0.9566084348183067,0.08734950546699442
13,0.009622443760424081,35.21742848339274,0.9576630336673176,0.08665588003670024
14,0.009600143660470073,35.22312694812957,0.9575923808507061,0.08649450985048414
15,0.00957528477261678,35.26603367427604,0.9579072661502486,0.08616716742754849
16,0.009529181031092744,35.28920304544262,0.9583027638236078,0.08595112790133921
17,0.009566549062407736,35.27519997420489,0.957971721532514,0.08617236237846718
18,0.009525998412021276,35.28085942703436,0.9581914033932727,0.08594599100919471
19,0.009565863120048467,35.284277088112944,0.95797654727309,0.08597234021027106
20,0.009500425254348023,35.32048599301667,0.9588276313826197,0.08560075360773373
21,0.009360349891257697,35.46036728366409,0.9598165927101071,0.08432275079119814
22,0.00940432605767173,35.4332912946881,0.959329508702474,0.08460832193747653
23,0.009398687257559905,35.40167473253121,0.9595250182709658,0.08487264267914676
24,0.009383549052290618,35.440844445437115,0.9596882714254875,0.0846211403059538
25,0.009427936006626435,35.37349521784191,0.9594317897717027,0.08513348227570565
26,0.009389119995115646,35.42891821464125,0.9596947555589775,0.08470343682987036
27,0.009410077181708967,35.43086339105502,0.9590426878328767,0.08466275919836953
28,0.009443645310138577,35.38849824287161,0.9590281914628416,0.08516112118543387
29,0.009395940644377522,35.418014283121686,0.9595805820235312,0.08480749329292474
30,0.009432584618956878,35.38624577315586,0.9593487475910004,0.08515628582546259
31,0.009387839580725492,35.42317695913669,0.9596577386626258,0.0847731348337401
32,0.00936122928376727,35.4558853841706,0.9598505972049746,0.08447616463442917
33,0.009386945105607397,35.440408115000764,0.9595442100279941,0.08466801846934136
34,0.009380587163895112,35.431272272338504,0.9597398594759639,0.08472785203538767
35,0.009454743583397618,35.36305851463769,0.9592174394629344,0.08543424985906219
36,0.009479346004282607,35.335952573795836,0.9589991636316303,0.08569889941836395
37,0.00939822645279868,35.40883501728503,0.9597374942634588,0.0849354903652547
38,0.009419940466639297,35.38628545401862,0.9595425736238026,0.08513516415871229
39,0.009445416322780837,35.36367845613257,0.9592921915726881,0.08541714288319831
40,0.009452562994355785,35.369231215207996,0.9592501039241816,0.08542983881972821
41,0.009416708540460415,35.39431148083007,0.9595362858051777,0.08514289146279515
42,0.009381675829404386,35.433923151817964,0.9597061508618752,0.08473978159649902
43,0.00946599591186206,35.35097595694237,0.9590333327823413,0.08555878149496078
44,0.009548407912671824,35.29275871204611,0.9584220281838163,0.08628742436502572
45,0.009503722509594055,35.31669488698202,0.9588383759242316,0.08596509803081086
46,0.00945517794502064,35.350655796654095,0.9592623648029305,0.08553094216701534
47,0.009470973623884393,35.33803654463551,0.9590686924956783,0.08566145097532804
48,0.009478799347637285,35.32940770575621,0.9590536605008662,0.08575892082890578
49,0.009497977074653167,35.32325293143422,0.9587881578899551,0.08588721595676503
50,0.009417698789259483,35.38528520954393,0.959533903321466,0.0852077143390762
